concept:name,case:concept:name,case:AMOUNT_REQ,StartTime,StartRes,CompleteTime,CompleteRes,Duration,activity_pre,activity,activity_verb,activity_dec,pre_activity,rank_result,result,TimeDiff
O_SELECTED,173688,20000,2011-10-01 11:45:09,10862,2011-10-01 11:45:09,10862,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,173688,20000,2011-10-01 11:45:11,10862,2011-10-01 11:45:11,10862,0.0,o,create,create,<NO_DESC>,o_create,3,accept,2.0
O_SENT,173688,20000,2011-10-01 11:45:11,10862,2011-10-01 11:45:11,10862,0.0,o,send,send,<NO_DESC>,o_send,3,accept,2.0
O_SENT_BACK,173688,20000,2011-10-10 11:33:03,11049,2011-10-10 11:33:03,11049,0.0,o,return,return,<NO_DESC>,o_return,2,accept,776872.0
O_ACCEPTED,173688,20000,2011-10-13 10:37:29,10629,2011-10-13 10:37:29,10629,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,255866.0
O_SELECTED,173691,5000,2011-10-01 14:35:46,10862,2011-10-01 14:35:46,10862,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,173691,5000,2011-10-01 14:35:47,10862,2011-10-01 14:35:47,10862,0.0,o,create,create,<NO_DESC>,o_create,3,accept,1.0
O_SENT,173691,5000,2011-10-01 14:35:47,10862,2011-10-01 14:35:47,10862,0.0,o,send,send,<NO_DESC>,o_send,3,accept,1.0
O_CANCELLED,173691,5000,2011-10-03 16:56:17,11120,2011-10-03 16:56:17,11120,0.0,o,cancel,cancel,<NO_DESC>,o_cancel,1,accept,181230.0
O_SELECTED,173691,5000,2011-10-03 16:56:17,11120,2011-10-03 16:56:17,11120,0.0,o,select,select,<NO_DESC>,o_select,2,accept,181230.0
O_CREATED,173691,5000,2011-10-03 16:56:19,11120,2011-10-03 16:56:19,11120,0.0,o,create,create,<NO_DESC>,o_create,3,accept,2.0
