Case ID,Activity,Start Timestamp,creditscore,net_promotor_score,rate_charged,duration,Resource,outcome,stopcode,Activity_verb,Activity_Dec,Activity_comb,Activity_code
0,Registration,2014/12/12 01:42:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
0,Basic Check,2014/12/12 02:00:00.833,-1.0,-1.0,-1.0,180.0,Sarah,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Sarah,check_basic
0,Initiate Low Application Check,2014/12/12 06:03:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,check,low,check_low_SYSTEM,check_low
0,Check Insurance History,2014/12/12 13:02:00.833,198.0,-1.0,-1.0,89700.0,Jenny,<NO_DESC>,none,check,insurance,check_insurance_Jenny_none,check_insurance
0,Check Medical History,2014/12/12 16:06:00.833,-1.0,-1.0,-1.0,127800.0,Tom,<NO_DESC>,<NO_DESC>,check,medical,check_medical_Tom,check_medical
0,Send Notification,2014/12/14 07:53:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,reject,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_reject,note
0,Archive,2014/12/14 09:16:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
1,Registration,2014/10/15 15:02:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
1,Basic Check,2014/10/15 15:15:00.833,-1.0,-1.0,-1.0,120.0,Jenny,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Jenny,check_basic
1,Initiate Low Application Check,2014/10/15 19:17:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,check,low,check_low_SYSTEM,check_low
1,Check Medical History,2014/10/16 02:27:00.833,-1.0,-1.0,-1.0,71640.0,Tom,<NO_DESC>,<NO_DESC>,check,medical,check_medical_Tom,check_medical
1,Check Insurance History,2014/10/16 14:02:00.833,716.0,-1.0,-1.0,60000.0,Marc,<NO_DESC>,none,check,insurance,check_insurance_Marc_none,check_insurance
1,Send Notification,2014/10/17 09:59:00.833,-1.0,-1.0,11.0,0.0,SYSTEM,accept,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_accept,note
1,Receive Questionnaire,2014/10/30 14:19:00.833,-1.0,8.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,question,<NO_DESC>,question_SYSTEM,question
1,Archive,2014/10/30 15:31:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
2,Registration,2014/04/09 03:59:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
2,Basic Check,2014/04/09 04:01:00.833,-1.0,-1.0,-1.0,120.0,Mike,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Mike,check_basic
2,Initiate Low Application Check,2014/04/09 08:03:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,check,low,check_low_SYSTEM,check_low
2,Check Medical History,2014/04/09 21:59:00.833,-1.0,-1.0,-1.0,88920.0,Anne,<NO_DESC>,<NO_DESC>,check,medical,check_medical_Anne,check_medical
2,Check Insurance History,2014/04/10 01:21:00.833,512.0,-1.0,-1.0,105180.0,Marc,<NO_DESC>,none,check,insurance,check_insurance_Marc_none,check_insurance
2,Send Notification,2014/04/11 10:00:00.833,-1.0,-1.0,32.0,0.0,SYSTEM,accept,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_accept,note
2,Receive Questionnaire,2014/04/14 08:38:00.833,-1.0,7.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,question,<NO_DESC>,question_SYSTEM,question
2,Archive,2014/04/14 09:54:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
