Case ID,Activity_code,dummyf,Resource,concate_features,Anne,Bart,Bob,Jenny,Marc,Mike,Pete,SYSTEM,Sarah,Tom
0,register,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3794682716627573,0.0,0.0
0,check_basic,<NO_DESC>,Sarah,Sarah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6244443261599589,0.0
0,check_low,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7207635846411631,0.0,0.0
0,check_insurance,<NO_DESC>,Jenny,Jenny,0.0,0.0,0.0,0.7207635846411631,0.0,0.0,0.0,0.0,0.0,0.0
0,check_medical,<NO_DESC>,Tom,Tom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8515193405230936
0,note,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3794682716627573,0.0,0.0
0,archive,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3794682716627573,0.0,0.0
1,register,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23333531947475827,0.0,0.0
1,check_basic,<NO_DESC>,Jenny,Jenny,0.0,0.0,0.0,0.6551257668546072,0.0,0.0,0.0,0.0,0.0,0.0
1,check_low,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6186796017528746,0.0,0.0
1,check_medical,<NO_DESC>,Tom,Tom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7309160142184178
1,check_insurance,<NO_DESC>,Marc,Marc,0.0,0.0,0.0,0.0,0.7099855323510951,0.0,0.0,0.0,0.0,0.0
1,note,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23333531947475827,0.0,0.0
1,question,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7099855323510951,0.0,0.0
1,archive,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23333531947475827,0.0,0.0
2,register,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2941571485507226,0.0,0.0
2,check_basic,<NO_DESC>,Mike,Mike,0.0,0.0,0.0,0.0,0.0,0.5995332064964678,0.0,0.0,0.0,0.0
2,check_low,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6611678596417415,0.0,0.0
2,check_medical,<NO_DESC>,Anne,Anne,0.7738166584802829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,check_insurance,<NO_DESC>,Marc,Marc,0.0,0.0,0.0,0.0,0.7587442894047133,0.0,0.0,0.0,0.0,0.0
2,note,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2941571485507226,0.0,0.0
2,question,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7587442894047134,0.0,0.0
2,archive,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2941571485507226,0.0,0.0
3,register,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3998114682613869,0.0,0.0
3,check_basic,<NO_DESC>,Sarah,Sarah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6367563523751707,0.0
3,check_low,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7349747156856924,0.0,0.0
3,check_medical,<NO_DESC>,Anne,Anne,0.8601986171372152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,check_insurance,<NO_DESC>,Marc,Marc,0.0,0.0,0.0,0.0,0.8434437038206042,0.0,0.0,0.0,0.0,0.0
3,note,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3998114682613869,0.0,0.0
3,archive,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3998114682613869,0.0,0.0
4,register,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24022900508567868,0.0,0.0
4,check_basic,<NO_DESC>,Pete,Pete,0.0,0.0,0.0,0.0,0.0,0.0,0.6560160736323966,0.0,0.0,0.0
4,check_low,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.623495318354816,0.0,0.0
4,check_medical,<NO_DESC>,Anne,Anne,0.7297255255100487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,check_insurance,<NO_DESC>,Marc,Marc,0.0,0.0,0.0,0.0,0.7155119617106442,0.0,0.0,0.0,0.0,0.0
4,note,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24022900508567868,0.0,0.0
4,question,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7155119617106444,0.0,0.0
4,archive,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24022900508567868,0.0,0.0
5,register,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7358521991977713,0.0,0.0
5,check_basic,<NO_DESC>,Bart,Bart,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,note,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7358521991977713,0.0,0.0
5,archive,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7358521991977713,0.0,0.0
6,register,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10008438054459601,0.0,0.0
6,check_basic,<NO_DESC>,Jenny,Jenny,0.0,0.0,0.0,0.5565571619724189,0.0,0.0,0.0,0.0,0.0,0.0
6,check_high,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6938573759577529,0.0,0.0
6,check_insurance,<NO_DESC>,Jenny,Jenny,0.0,0.0,0.0,0.5255945968588714,0.0,0.0,0.0,0.0,0.0,0.0
6,check_medical,<NO_DESC>,Bob,Bob,0.0,0.0,0.6792152747919586,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,check_hospital,<NO_DESC>,Anne,Anne,0.8167455265144438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,note,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10008438054459601,0.0,0.0
6,archive,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10008438054459601,0.0,0.0
7,register,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16626458232518382,0.0,0.0
7,check_basic,<NO_DESC>,Sarah,Sarah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49541006158027684,0.0
7,check_high,<NO_DESC>,SYSTEM,SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7548892706249127,0.0,0.0
